"","lat","lng"
"53053",47.1726485714286,-122.42256
"53057",48.477228,-122.256188
"53041",46.5787047619048,-122.704219047619
"53035",47.631894,-122.624182
"53007",47.70638,-120.41146
"53021",46.4899571428571,-118.983342857143
"53043",47.59700625,-118.33174375
"53001",46.8825714285714,-118.6012
"53033",47.4996807017544,-122.147988596491
"53049",46.528,-123.824194117647
"53037",47.1791083333333,-120.85975
"53047",48.4263068965517,-119.504268965517
"53063",47.6277459459459,-117.373621621622
"53061",47.9584784615385,-122.103724615385
"53025",47.2302565217391,-119.40752173913
"53017",47.6430125,-119.9510875
"53039",45.7955266666667,-121.074086666667
"53077",46.529125,-120.488225
"53075",46.955112,-117.367484
"53067",46.9514823529412,-122.824476470588
"53055",48.5998857142857,-122.950928571429
"53069",46.2805,-123.533585714286
"53011",45.7373230769231,-122.554057692308
"53031",47.9232666666667,-122.913175
"53027",47.0635363636364,-123.839948484848
"53073",48.8535391304348,-122.275073913043
"53065",48.3518285714286,-117.923166666667
"53029",48.0723307692308,-122.491607692308
"53071",46.1340888888889,-118.474544444444
"53015",46.1370461538462,-122.822346153846
"53005",46.17419,-119.36945
"53019",48.667,-118.415266666667
"53013",46.38375,-118.01595
"53045",47.3713545454545,-123.061018181818
"53051",48.4906,-117.305590909091
"53009",48.1083266666667,-123.69006
"53059",45.699275,-121.8107
"53023",46.47355,-117.56685
"53003",46.32095,-117.076975
"51121",37.17998,-80.39654
"51145",37.5089,-77.8528
"51163",37.7989,-79.4036875
"51087",37.6062307692308,-77.4661076923077
"51685",38.7717,-77.4448
"51051",37.1285,-82.35534
"51133",37.89166,-76.38848
"51059",38.8352729166667,-77.23379375
"51083",36.7420714285714,-78.9349071428571
"51065",37.825675,-78.25455
"51015",38.1408368421053,-79.0536421052632
"51600",38.8531,-77.2998
"51179",38.400325,-77.408525
"51107",39.055,-77.53535
"51195",36.9514375,-82.60175
"51115",37.4336333333333,-76.3088
"51027",37.2784333333333,-82.0376833333333
"51820",38.0673,-78.9012
"51003",38.01446875,-78.5443
"51077",36.6602166666667,-81.2547666666667
"51125",37.7571333333333,-78.8887777777778
"51678",37.7825,-79.444
"51167",36.9343666666667,-82.1228666666667
"51175",36.7083777777778,-77.1283333333333
"51193",38.099875,-76.7578
"51141",36.67624,-80.32262
"51067",37.0067666666667,-79.8198111111111
"51105",36.7282625,-83.1700375
"51031",37.1950777777778,-79.1368
"51169",36.7165857142857,-82.5933428571429
"51053",37.08985,-77.697675
"51035",36.689575,-80.73055
"51001",37.7675808510638,-75.6659425531915
"51131",37.38114,-75.92116
"51111",36.97505,-78.2492166666667
"51103",37.7155166666667,-76.4500166666667
"51029",37.6212142857143,-78.4995714285714
"51089",36.6803,-79.8825923076923
"51047",38.5078666666667,-77.9139666666667
"51840",39.1734,-78.1745
"51137",38.24255,-77.998575
"51041",37.3951428571429,-77.5227357142857
"51061",38.6475833333333,-77.741925
"51165",38.4731066666667,-78.8449266666667
"51007",37.3398,-77.9951666666667
"51117",36.68694,-78.34242
"51191",36.7226333333333,-81.9242
"51197",36.9035,-81.0532666666667
"51109",37.99842,-77.91956
"51171",38.8704777777778,-78.5315222222222
"51097",37.691425,-76.92725
"51173",36.8335777777778,-81.5822444444444
"51159",37.9319333333333,-76.6828333333333
"51081",36.8192,-77.52845
"51036",37.344,-77.0687
"51750",37.1229,-80.5583
"51049",37.5794,-78.173
"51187",38.9288142857143,-78.1537571428571
"51760",37.5294,-77.4755
"51025",36.7171,-77.874775
"51139",38.623625,-78.4906
"51037",37.0326125,-78.6325625
"51099",38.30918,-77.19592
"51091",38.357,-79.5706
"51071",37.3377333333333,-80.7448166666667
"51127",37.47565,-77.0149
"51155",37.07808,-80.65698
"51033",38.0464571428571,-77.3504142857143
"51810",36.7335,-76.0435
"51019",37.3617333333333,-79.4828
"51143",36.8376181818182,-79.3903545454545
"51153",38.6959666666667,-77.4290458333333
"51023",37.49609,-79.85382
"51093",36.8888444444444,-76.7074444444444
"51075",37.6721333333333,-77.8947
"51069",39.16704,-78.2492
"51021",37.16065,-81.078675
"51085",37.7688,-77.44365
"51550",36.6778,-76.3024
"51057",37.900425,-76.88705
"51183",36.94272,-77.2085
"51113",38.4274833333333,-78.24675
"51119",37.587125,-76.486925
"51017",38.0350571428571,-79.7568428571429
"51013",38.8786,-77.1011
"51135",37.144575,-78.10205
"51079",38.2603,-78.418
"51580",37.7786,-79.9868
"51185",37.1519785714286,-81.5862214285714
"51540",38.0374,-78.4856
"51045",37.4998666666667,-80.1711333333333
"51005",37.8092142857143,-79.9489714285714
"51073",37.35474,-76.5137
"51710",36.8945,-76.259
"51800",36.64175,-76.66225
"51043",39.1271,-77.9687333333333
"51149",37.1421,-77.2834666666667
"51730",37.2042,-77.3914
"51181",37.14954,-76.89874
"51610",38.8747,-77.18145
"51157",38.74705,-78.15685
"51640",36.666,-80.9176
"51147",37.279125,-78.4298
"51690",36.6827,-79.8636
"51095",37.3799,-76.8041
"51590",36.5831,-79.4088
"51683",38.748,-77.484
"51009",37.5213,-79.0877
"51660",38.4362,-78.8735
"51630",38.2992,-77.4871
"51161",37.26404,-79.99474
"51011",37.3116,-78.75425
"51740",36.8468,-76.354
"51700",37.1052,-76.5185
"51177",38.21248,-77.65654
"51775",37.2864,-80.0554
"51790",38.1593,-79.0608
"51520",36.618,-82.1607
"51650",37.0551,-76.3629
"51101",37.6619666666667,-76.9848
"51770",37.2784,-79.9581
"51830",37.2691,-76.7075
"51063",36.97485,-80.26145
"51510",38.8184,-77.0861
"51720",36.9317,-82.626
"51680",37.4004,-79.1911
"51199",37.3662666666667,-77.2140666666667
"51595",36.6953,-77.5356
"51735",37.1318,-76.3569
"51620",36.6831,-76.9386
"51670",37.2914,-77.2985
"51530",37.7316,-79.3565
"51570",37.265,-77.3969
"10001",39.102996,-75.54564
"10003",39.7071255813953,-75.6152604651163
"10005",38.6448769230769,-75.3056038461538
"11001",38.9047,-77.0163
"55055",43.0205666666667,-88.78658
"55049",42.983975,-90.1682333333333
"55133",43.0583282051282,-88.3302538461538
"55033",44.9531,-91.8948
"55081",43.92685,-90.5904
"55021",43.4600266666667,-89.29234
"55087",44.3744733333333,-88.4843333333333
"55103",43.38435,-90.37091
"55115",44.8022863636364,-88.7519454545454
"55031",46.5453357142857,-91.9438357142857
"55113",45.8608333333333,-91.275725
"55121",44.3164916666667,-91.3623333333333
"55025",43.0741821428571,-89.423375
"55091",44.5449,-92.08906
"55057",43.8093777777778,-90.1666
"55135",44.4579941176471,-88.9645058823529
"55043",42.8544208333333,-90.6903666666667
"55075",45.3699916666667,-87.9695833333333
"55137",44.1186692307692,-89.1644538461538
"55101",42.7347055555556,-88.0359222222222
"55029",45.0063230769231,-87.2748692307692
"55141",44.4767625,-89.97896875
"55127",42.6356941176471,-88.5153764705882
"55123",43.6258733333333,-90.8206866666667
"55111",43.4204105263158,-89.9296105263158
"55117",43.7111736842105,-87.9050789473684
"55119",45.2256,-90.48994
"55059",42.5478846153846,-88.0949923076923
"55039",43.7737315789474,-88.4629421052632
"55131",43.3366363636364,-88.2181181818182
"55067",45.263,-89.0243538461538
"55027",43.4083045454545,-88.6437318181818
"55005",45.4385333333333,-91.84152
"55139",44.0988785714286,-88.6304285714286
"55107",45.4483666666667,-91.0218333333333
"55015",44.13376,-88.18538
"55077",43.80635,-89.422025
"55079",43.0316368421053,-87.9471894736842
"55009",44.481945,-88.02641
"55019",44.7962705882353,-90.5166705882353
"55071",44.13554,-87.8056666666667
"55109",45.0445933333333,-92.48346
"55017",45.0313571428571,-91.28465
"55083",44.99213,-88.24378
"55069",45.3791857142857,-89.6791428571429
"55063",43.9107909090909,-91.1438727272727
"55007",46.5729571428571,-91.1115857142857
"55011",44.3346375,-91.7973125
"55073",44.8804333333333,-89.7661238095238
"55089",43.3671111111111,-87.9463111111111
"55097",44.47945,-89.45914375
"55053",44.35149,-90.89731
"55047",43.7817142857143,-89.0721571428571
"55061",44.5509,-87.6110375
"55105",42.6917076923077,-89.071
"55013",45.8663833333333,-92.3953333333333
"55023",43.2654153846154,-90.9469923076923
"55051",46.3598,-90.2280666666667
"55001",43.89336,-89.80599
"55065",42.6585545454545,-90.0605090909091
"55095",45.43658125,-92.45393125
"55129",45.8784571428571,-91.7857428571428
"55045",42.71306,-89.56169
"55099",45.6074857142857,-90.3807
"55093",44.70158,-92.4393
"55085",45.7451333333333,-89.4140666666667
"55041",45.5618,-88.755375
"55035",44.7161857142857,-91.2789428571429
"55125",46.0319,-89.51064
"55037",45.8833666666667,-88.3532333333333
"55003",46.329125,-90.718825
"55078",44.94016,-88.71896
"54045",37.8107964285714,-81.9544535714286
"54031",39.0214166666667,-78.82505
"54093",39.10045,-79.5673375
"54019",38.0363033333333,-81.16687
"54029",40.536,-80.585275
"54037",39.31559,-77.84472
"54033",39.2989526315789,-80.3559368421053
"54099",38.17726,-82.49629
"54023",39.13526,-79.20216
"54081",37.7467818181818,-81.2262545454546
"54055",37.3727,-81.1560071428571
"54005",38.0233,-81.6975416666667
"54077",39.4751923076923,-79.6888692307692
"54063",37.5216142857143,-80.5372571428571
"54047",37.3756826086957,-81.5747869565217
"54083",38.8051235294118,-79.8739588235294
"54061",39.6508307692308,-80.0120692307692
"54107",39.2627230769231,-81.5233
"54079",38.5164363636364,-81.9051545454546
"54039",38.3043875,-81.550015625
